code,total,ninni_zahyou,kokyo_zahyou,special_chiban
12427,81625,60469,13376,7780
12441,103789,79912,11445,12432
12443,35085,32717,0,2368
12463,46644,17064,23850,5730
13101,22026,21138,235,653
13102,29950,28430,1002,518
13103,55422,52152,1328,1942
13104,93985,89148,1995,2842
13105,57809,54535,2152,1122
13106,51793,51029,52,712
13107,70649,66218,2294,2137
13108,79591,73361,3382,2848
13109,96977,90676,3313,2988
13110,81242,77981,605,2656
13111,197437,190708,527,6202
13112,310947,287329,11613,12005
13113,69590,58637,8510,2443
13114,110528,106593,1521,2414
13115,213693,207391,86,6216
13116,83835,74348,7479,2008
13117,96995,88383,5469,3143
13118,64097,61552,0,2545
13119,151897,137790,10000,4107
13120,304267,294632,2809,6826
13121,261270,236934,15600,8736
13122,189814,138919,40076,10819
13123,231200,200865,20209,10126
13201,374696,319905,34849,19942
13202,79756,76818,1309,1629
13203,52130,50976,462,692
13204,84809,83006,3,1800
13205,147889,118274,19495,10120
13206,126657,121454,351,4852
13207,63002,58995,1155,2852
13208,110720,104789,257,5674
13209,274489,234870,26287,13332
13210,58535,57465,33,1037
13211,91405,88936,1062,1407
13212,94807,81314,9325,4168
13213,80592,79003,109,1480
13214,64007,62804,46,1157
13215,35325,33403,320,1602
13218,32159,25866,5449,844
13219,40732,38345,0,2387
13220,45772,43216,896,1660
13221,40099,39345,0,754
13222,61381,59685,417,1279
13223,51652,48751,1182,1719
13224,41943,16270,22495,3178
13225,48759,42425,3619,2715
13227,28627,19807,8012,808
13228,108342,43576,57736,7030
13229,90106,88743,116,1247
13303,31839,9826,20530,1483
13305,27777,2862,22165,2750
13307,25019,20298,0,4721
13308,40622,30089,5100,5433
13361,34070,502,30337,3231
13362,3700,0,3436,264
13363,13787,0,13207,580
13364,13371,0,12700,671
13381,24289,0,23275,1014
13382,3121,0,2731,390
13401,35138,0,30634,4504
13402,1019,0,905,114
13421,10228,0,7075,3153
14101,102507,98061,3,4443
14102,92627,66962,21733,3932
14103,27272,26124,446,702
14104,49435,44389,3054,1992
14105,81581,70808,6253,4520
14106,97556,44540,46995,6021
14107,73214,67312,352,5550
14108,91375,78141,8109,5125
14109,147757,136072,4679,7006
14110,158660,53261,91328,14071
14111,108831,90341,10654,7836
14112,126660,3398,111449,11813
14113,79182,21194,52844,5144
14114,66370,3452,58183,4735
14115,68381,6558,53600,8223
14116,97534,26565,66209,4760
14117,108649,52557,52283,3809
14118,79856,75503,1357,2996
14131,60363,57939,44,2380
14132,44879,41945,7,2927
14133,74539,66259,3512,4768
14134,79452,74795,0,4657
14135,96548,79140,8451,8957
14136,82388,75578,3518,3292
14137,88234,40456,36306,11472
14151,281533,244160,17365,20008
14152,148558,143224,2483,2851
14153,167160,161236,2611,3313
14201,319362,291613,10188,17561
14203,241811,215236,4665,21910
14204,142732,132516,589,9627
14205,262507,212213,38558,11736
14206,274351,238687,2316,33348
14207,188240,176213,3156,8871
14208,50583,47212,64,3307
14209,475,2,0,473
14210,74267,66668,1658,5941
14211,222049,192980,2678,26391
14212,242364,191730,31668,18966
14213,112584,107427,2433,2724
14214,142267,107136,17865,17266
14215,96930,69571,20407,6952
14216,81630,77652,582,3396
14217,92043,37959,41599,12485
14218,82340,77130,1337,3873
14301,39530,37623,0,1907
14321,50511,46518,296,3697
14341,54801,48209,0,6592
14342,37915,30105,3379,4431
14361,43406,28623,7573,7210
14362,35350,5796,24978,4576
14363,37190,28286,2765,6139
14364,72259,55307,4639,12313
14366,22929,13394,6373,3162
14382,41651,37165,0,4486
14383,15418,14014,0,1404
14384,39486,35391,634,3461
14401,74960,67849,164,6947
14402,22882,18598,53,4231
15101,205425,163756,18178,23491
15102,133898,86410,43647,3841
15103,142626,106561,32164,3901
15104,187058,127058,50089,9911
15105,213906,166911,26676,20319
15106,127186,6357,108223,12606
15107,263303,137490,103774,22039
15108,303115,142737,113359,47019
15202,1356402,1058577,158767,139058
15204,390888,277064,67504,46320
15205,725616,623393,20311,81912
15206,399484,159683,187653,52148
15208,218036,144597,55795,17644
15209,122450,101593,4968,15889
15210,642726,325564,266768,50394
15211,153803,127001,11836,14966
15212,430645,132780,229489,68376
15213,223330,107137,95003,21190
15216,596334,510209,36599,49526
15217,314759,256636,22631,35492
15218,275593,209266,32796,33531
15222,1461627,1053254,267518,140855
15223,219715,74353,117085,28277
15224,580337,15056,471317,93964
15225,306947,33983,238371,34593
15226,352438,111166,193235,48037
15227,141583,2825,120998,17760
15307,42496,3702,34207,4587
15308,1,0,0,1
15342,37468,1586,31763,4119
15361,52827,43456,4476,4895
15385,292131,209998,39117,43016
15405,79126,65803,5830,7493
15441,1605,0,0,1605
15461,48775,20808,23123,4844
15482,142303,0,129956,12347
15504,43275,21638,16180,5457
15541,15,0,0,15
15542,1,1,0,0
15581,63598,4829,47279,11490
15584,2,1,1,0
15586,6327,1503,4015,809
16201,1320976,925546,206013,189417
16202,423762,298096,79088,46578
16204,211336,164242,17163,29931
16205,323616,191133,89064,43419
16206,131129,62711,49645,18773
16207,198736,129548,40876,28312
16208,199751,103572,76787,19392
16209,215535,162656,31753,21126
16210,424294,299343,80842,44109
16211,232930,161158,34831,36941
16301,2,0,2,0
16321,9481,2851,5303,1327
16322,160904,117843,19588,23473
16323,153873,95838,35323,22712
16342,95854,59015,28896,7943
16343,108302,84032,9358,14912
16381,1,1,0,0
16384,1,1,0,0
17201,747481,368154,286593,92734
17202,447189,362957,24139,60093
17203,411128,332437,29997,48694
17204,569396,488617,5347,75432
17205,224177,183801,6725,33651
17206,329180,230545,60102,38533
17207,108220,16360,72544,19316
17209,122748,76426,31829,14493
17210,379112,179285,135392,64435
17211,147551,101187,23733,22631
17212,41225,11192,29607,426
17324,28426,14091,7501,6834
17343,1,1,0,0
17344,4493,6,18,4469
17361,235120,190856,12876,31388
17365,23251,9179,12888,1184
17384,242314,101062,103328,37924
17386,130877,69171,36777,24929
17407,136721,83085,32858,20778
17461,172945,151757,258,20930
17463,278448,225286,9949,43213
18201,753038,513372,117125,122541
18202,194139,136530,16891,40718
18204,168569,122991,9414,36164
18205,240257,160084,33218,46955
18206,180729,124232,11206,45291
18207,191863,142262,20766,28835
18208,152693,95424,32071,25198
18209,341279,251170,23547,66562
18210,284039,182097,47020,54922
18322,100497,68831,10075,21591
18382,79910,58826,1489,19595
18404,147300,86858,23259,37183
18423,193318,141040,9229,43049
18442,70328,43705,10261,16362
18481,69589,49937,4284,15368
18483,67231,24990,26701,15540
18501,124606,58020,39968,26618
19201,268549,56519,178842,33188
19202,90365,58765,20576,11024
19204,109546,37995,53191,18360
19205,172291,7174,134187,30930
19206,160272,83190,50526,26556
19207,132165,106,116496,15563
19208,198070,8178,172775,17117
19209,389584,3822,339993,45769
19210,148081,12898,115956,19227
19211,242581,13737,196540,32304
19212,154696,111400,27057,16239
19213,142584,6425,113173,22986
19214,65126,16867,40282,7977
19346,102086,18888,70337,12861
19364,65344,59270,0,6074
19365,270592,179903,60903,29786
19366,113871,43056,47271,23544
19368,90417,26621,52273,11523
19384,28948,1864,24046,3038
19422,28221,21571,1129,5521
19423,12299,40,10062,2197
19424,21439,5221,13267,2951
19425,23911,20961,1674,1276
