code,total,ninni_zahyou,kokyo_zahyou,special_chiban
02442,88472,0,80211,8261
02443,42021,0,37278,4743
02445,74010,0,65103,8907
02446,42311,0,39739,2572
02450,33933,117,30292,3524
03201,383589,173348,173665,36576
03202,152713,63081,70055,19577
03203,103359,2778,86182,14399
03205,475924,38091,395393,42440
03206,318372,155685,132292,30395
03207,111139,2695,91221,17223
03208,177307,41367,108317,27623
03209,610001,15601,535765,58635
03210,87384,2166,74351,10867
03211,61627,15018,39059,7550
03213,124283,264,105344,18675
03214,173465,12970,141930,18565
03215,589235,255014,278753,55468
03216,80853,2383,72992,5478
03301,103908,6396,85401,12111
03302,43427,175,36335,6917
03303,74044,804,64041,9199
03321,142528,8571,115648,18309
03322,85790,10933,69398,5459
03366,69885,1577,59492,8816
03381,89045,32754,47826,8465
03402,40981,4809,31824,4348
03441,39251,0,34381,4870
03461,34788,21659,9230,3899
03482,49905,21810,22255,5840
03483,68721,0,54318,14403
03484,20396,511,17034,2851
03485,12617,267,9288,3062
03501,51987,2770,43658,5559
03503,16158,1,14076,2081
03506,32203,0,27171,5032
03507,61185,1,53020,8164
03524,70256,1407,57122,11727
04101,176657,97362,65691,13604
04102,105474,87353,13700,4421
04103,92910,61759,26571,4580
04104,163882,113340,36724,13818
04105,138883,67722,60030,11131
04202,331186,36543,260188,34455
04203,42568,40,40451,2077
04205,163928,27228,120228,16472
04206,129335,27103,86804,15428
04207,101615,2472,87369,11774
04208,132097,20227,101552,10318
04209,43677,4042,36999,2636
04211,67171,2953,57945,6273
04212,325700,11405,279345,34950
04213,414702,23291,343851,47560
04214,99621,4992,84097,10532
04215,408862,5610,356780,46472
04216,42671,6895,35385,391
04301,68279,10845,50731,6703
04302,28406,2701,21539,4166
04321,34402,463,31596,2343
04322,52983,5,47981,4997
04323,63598,2920,53282,7396
04324,61457,9965,43045,8447
04341,105330,4666,92047,8617
04361,82020,21,74514,7485
04362,61342,107,55053,6182
04401,38900,2851,31937,4112
04404,22069,898,19399,1772
04406,36758,379,33172,3207
04421,87511,16144,59140,12227
04422,52100,4310,41683,6107
04423,3305,6,17,3282
04424,35841,6215,25206,4420
04444,42532,1593,35484,5455
04445,125278,2001,110061,13216
04501,58877,145,53110,5622
04505,72467,7613,57090,7764
04548,1,0,1,0
04581,21550,0,18656,2894
04606,61629,273,56034,5322
05201,617142,396442,119973,100727
05202,242366,123517,86015,32834
05203,510483,263530,150383,96570
05204,309061,176764,87321,44976
05206,150479,30541,95564,24374
05207,259037,146978,72376,39683
05209,155835,22745,110392,22698
05210,497901,118758,299388,79755
05211,88166,28256,48758,11152
05212,560358,247444,231474,81440
05213,249756,34654,178509,36593
05214,145184,1641,125792,17751
05215,229844,76164,117904,35776
05303,25050,4600,15154,5296
05327,28590,7015,16601,4974
